# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 0 --method outpost --tag C_fview --set use_fview_gate=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'x', 'edge_index', 'y'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.5629 PR 0.1808 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4859 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 17: test-all ROC 0.5732 PR 0.1741 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5633 | tau+ 0.500 | veto 8516
[OUTPOST-v4] epoch 18: test-all ROC 0.5747 PR 0.1747 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5660 | tau+ 0.500 | veto 8614
[OUTPOST-v4] epoch 19: test-all ROC 0.5761 PR 0.1752 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5673 | tau+ 0.500 | veto 8439
[OUTPOST-v4] epoch 20: test-all ROC 0.5773 PR 0.1757 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5698 | tau+ 0.500 | veto 8522
[OUTPOST-v4] epoch 21: test-all ROC 0.5785 PR 0.1761 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5723 | tau+ 0.500 | veto 8537
[OUTPOST-v4] epoch 22: test-all ROC 0.5797 PR 0.1766 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5734 | tau+ 0.500 | veto 8439
[OUTPOST-v4] epoch 23: test-all ROC 0.5809 PR 0.1770 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5738 | tau+ 0.500 | veto 8265
[OUTPOST-v4] epoch 24: test-all ROC 0.5821 PR 0.1774 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5746 | tau+ 0.500 | veto 8064
[OUTPOST-v4] epoch 25: test-all ROC 0.5834 PR 0.1778 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5742 | tau+ 0.500 | veto 8295
[OUTPOST-v4] epoch 26: test-all ROC 0.5848 PR 0.1783 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5748 | tau+ 0.500 | veto 8442
[OUTPOST-v4] epoch 27: test-all ROC 0.5863 PR 0.1788 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5744 | tau+ 0.500 | veto 8476
[OUTPOST-v4] epoch 28: test-all ROC 0.5879 PR 0.1794 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5741 | tau+ 0.500 | veto 8449
[OUTPOST-v4] epoch 29: test-all ROC 0.5897 PR 0.1800 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5725 | tau+ 0.500 | veto 8425
[OUTPOST-v4] epoch 30: test-all ROC 0.5916 PR 0.1806 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5712 | tau+ 0.500 | veto 8329
[OUTPOST-v4] epoch 31: test-all ROC 0.5934 PR 0.1813 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5700 | tau+ 0.500 | veto 8429
[OUTPOST-v4] epoch 32: test-all ROC 0.5952 PR 0.1820 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5704 | tau+ 0.500 | veto 8379
[OUTPOST-v4] epoch 33: test-all ROC 0.5968 PR 0.1826 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5691 | tau+ 0.500 | veto 8399
[OUTPOST-v4] epoch 34: test-all ROC 0.5984 PR 0.1833 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5695 | tau+ 0.500 | veto 8379
[OUTPOST-v4] epoch 35: test-all ROC 0.5999 PR 0.1839 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5683 | tau+ 0.500 | veto 8662
[OUTPOST-v4] epoch 36: test-all ROC 0.6015 PR 0.1846 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5685 | tau+ 0.500 | veto 9047
[OUTPOST-v4] epoch 37: test-all ROC 0.6033 PR 0.1854 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5676 | tau+ 0.500 | veto 9128
[OUTPOST-v4] epoch 38: test-all ROC 0.6052 PR 0.1863 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5679 | tau+ 0.500 | veto 9086
[OUTPOST-v4] epoch 39: test-all ROC 0.6073 PR 0.1873 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5663 | tau+ 0.500 | veto 9013
[OUTPOST-v4] epoch 40: test-all ROC 0.6095 PR 0.1884 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5662 | tau+ 0.500 | veto 8976
[OUTPOST-v4] epoch 41: test-all ROC 0.6118 PR 0.1896 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5662 | tau+ 0.500 | veto 9063
[OUTPOST-v4] epoch 42: test-all ROC 0.6142 PR 0.1909 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5657 | tau+ 0.500 | veto 9160
[OUTPOST-v4] epoch 43: test-all ROC 0.6165 PR 0.1922 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5647 | tau+ 0.500 | veto 9247
[OUTPOST-v4] epoch 44: test-all ROC 0.6187 PR 0.1935 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5657 | tau+ 0.500 | veto 9261
[OUTPOST-v4] epoch 45: test-all ROC 0.6207 PR 0.1947 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5662 | tau+ 0.500 | veto 9248
[OUTPOST-v4] epoch 46: test-all ROC 0.6225 PR 0.1958 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5664 | tau+ 0.500 | veto 9232
[OUTPOST-v4] epoch 47: test-all ROC 0.6241 PR 0.1968 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5656 | tau+ 0.500 | veto 9224
[OUTPOST-v4] epoch 48: test-all ROC 0.6255 PR 0.1976 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5664 | tau+ 0.500 | veto 9215
[OUTPOST-v4] epoch 49: test-all ROC 0.6268 PR 0.1984 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5673 | tau+ 0.500 | veto 9215
[OUTPOST-v4] epoch 50: test-all ROC 0.6278 PR 0.1990 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5681 | tau+ 0.500 | veto 9224
[OUTPOST-v4] epoch 51: test-all ROC 0.6287 PR 0.1996 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5687 | tau+ 0.500 | veto 9246
[OUTPOST-v4] epoch 52: test-all ROC 0.6295 PR 0.2000 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5698 | tau+ 0.500 | veto 9266
[OUTPOST-v4] epoch 53: test-all ROC 0.6301 PR 0.2004 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5698 | tau+ 0.500 | veto 9302
[OUTPOST-v4] epoch 54: test-all ROC 0.6305 PR 0.2006 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5703 | tau+ 0.500 | veto 9344
[OUTPOST-v4] epoch 55: test-all ROC 0.6305 PR 0.2006 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5713 | tau+ 0.500 | veto 9413
[OUTPOST-v4] epoch 56: test-all ROC 0.6303 PR 0.2005 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5717 | tau+ 0.500 | veto 9476
[OUTPOST-v4] epoch 57: test-all ROC 0.6299 PR 0.2003 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5721 | tau+ 0.500 | veto 9555
[OUTPOST-v4] epoch 58: test-all ROC 0.6294 PR 0.2000 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5724 | tau+ 0.500 | veto 9694
[OUTPOST-v4] epoch 59: test-all ROC 0.6290 PR 0.1998 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5722 | tau+ 0.500 | veto 9808
[OUTPOST-v4] epoch 60: test-all ROC 0.6287 PR 0.1997 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5734 | tau+ 0.500 | veto 9904
[OUTPOST-v4] epoch 61: test-all ROC 0.6286 PR 0.1998 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5738 | tau+ 0.500 | veto 9891
[OUTPOST-v4] epoch 62: test-all ROC 0.6288 PR 0.2000 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5744 | tau+ 0.500 | veto 9882
[OUTPOST-v4] epoch 63: test-all ROC 0.6292 PR 0.2003 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5757 | tau+ 0.500 | veto 9866
[OUTPOST-v4] epoch 64: test-all ROC 0.6298 PR 0.2008 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5766 | tau+ 0.500 | veto 9833
[OUTPOST-v4] epoch 65: test-all ROC 0.6305 PR 0.2013 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5779 | tau+ 0.500 | veto 9807
[OUTPOST-v4] epoch 66: test-all ROC 0.6314 PR 0.2020 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5793 | tau+ 0.500 | veto 9783
[OUTPOST-v4] epoch 67: test-all ROC 0.6324 PR 0.2028 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5796 | tau+ 0.500 | veto 9741
[OUTPOST-v4] epoch 68: test-all ROC 0.6336 PR 0.2037 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5798 | tau+ 0.500 | veto 9720
[OUTPOST-v4] epoch 69: test-all ROC 0.6348 PR 0.2047 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5801 | tau+ 0.500 | veto 9813
[OUTPOST-v4] epoch 70: test-all ROC 0.6362 PR 0.2058 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5806 | tau+ 0.500 | veto 9904
[OUTPOST-v4] epoch 71: test-all ROC 0.6376 PR 0.2070 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5814 | tau+ 0.500 | veto 9958
[OUTPOST-v4] epoch 72: test-all ROC 0.6391 PR 0.2083 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5808 | tau+ 0.500 | veto 9933
[OUTPOST-v4] epoch 73: test-all ROC 0.6407 PR 0.2098 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5809 | tau+ 0.500 | veto 9912
[OUTPOST-v4] epoch 74: test-all ROC 0.6422 PR 0.2113 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5815 | tau+ 0.500 | veto 9981
[OUTPOST-v4] epoch 75: test-all ROC 0.6437 PR 0.2127 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5819 | tau+ 0.500 | veto 10059
[OUTPOST-v4] epoch 76: test-all ROC 0.6451 PR 0.2141 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5819 | tau+ 0.500 | veto 10130
[OUTPOST-v4] epoch 77: test-all ROC 0.6463 PR 0.2155 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5814 | tau+ 0.500 | veto 10257
[OUTPOST-v4] epoch 78: test-all ROC 0.6473 PR 0.2168 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5816 | tau+ 0.500 | veto 10311
[OUTPOST-v4] epoch 79: test-all ROC 0.6483 PR 0.2180 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5821 | tau+ 0.500 | veto 10272
[OUTPOST-v4] epoch 80: test-all ROC 0.6493 PR 0.2193 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5828 | tau+ 0.500 | veto 10219
[OUTPOST-v4] epoch 81: test-all ROC 0.6501 PR 0.2206 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5823 | tau+ 0.500 | veto 10178
[OUTPOST-v4] epoch 82: test-all ROC 0.6510 PR 0.2218 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5819 | tau+ 0.500 | veto 10143
[OUTPOST-v4] epoch 83: test-all ROC 0.6518 PR 0.2230 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5824 | tau+ 0.500 | veto 10126
[OUTPOST-v4] epoch 84: test-all ROC 0.6525 PR 0.2243 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5816 | tau+ 0.500 | veto 10077
[OUTPOST-v4] epoch 85: test-all ROC 0.6532 PR 0.2255 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5825 | tau+ 0.500 | veto 10026
[OUTPOST-v4] epoch 86: test-all ROC 0.6538 PR 0.2267 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5820 | tau+ 0.500 | veto 9998
[OUTPOST-v4] epoch 87: test-all ROC 0.6545 PR 0.2278 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5820 | tau+ 0.500 | veto 9931
[OUTPOST-v4] epoch 88: test-all ROC 0.6551 PR 0.2290 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5830 | tau+ 0.500 | veto 9863
[OUTPOST-v4] epoch 89: test-all ROC 0.6557 PR 0.2301 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5829 | tau+ 0.500 | veto 9811
[OUTPOST-v4] epoch 90: test-all ROC 0.6562 PR 0.2312 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5845 | tau+ 0.500 | veto 9785
[OUTPOST-v4] epoch 91: test-all ROC 0.6568 PR 0.2324 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5859 | tau+ 0.500 | veto 9752
[OUTPOST-v4] epoch 92: test-all ROC 0.6573 PR 0.2336 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5869 | tau+ 0.500 | veto 9709
[OUTPOST-v4] epoch 93: test-all ROC 0.6578 PR 0.2347 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5885 | tau+ 0.500 | veto 9732
[OUTPOST-v4] epoch 94: test-all ROC 0.6583 PR 0.2358 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5890 | tau+ 0.500 | veto 9655
[OUTPOST-v4] epoch 95: test-all ROC 0.6587 PR 0.2368 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5903 | tau+ 0.500 | veto 9628
[OUTPOST-v4] epoch 96: test-all ROC 0.6592 PR 0.2380 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5908 | tau+ 0.500 | veto 9604
[OUTPOST-v4] epoch 97: test-all ROC 0.6596 PR 0.2391 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5916 | tau+ 0.500 | veto 9584
[OUTPOST-v4] epoch 98: test-all ROC 0.6600 PR 0.2402 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5931 | tau+ 0.500 | veto 9563
[OUTPOST-v4] epoch 99: test-all ROC 0.6605 PR 0.2414 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5934 | tau+ 0.500 | veto 9560
[OUTPOST-v4] epoch 100: test-all ROC 0.6609 PR 0.2427 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5930 | tau+ 0.500 | veto 9546
[OUTPOST-v4] epoch 101: test-all ROC 0.6613 PR 0.2440 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5935 | tau+ 0.500 | veto 9638
[OUTPOST-v4] epoch 102: test-all ROC 0.6618 PR 0.2453 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5940 | tau+ 0.500 | veto 9703
[OUTPOST-v4] epoch 103: test-all ROC 0.6621 PR 0.2465 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5936 | tau+ 0.500 | veto 9675
[OUTPOST-v4] epoch 104: test-all ROC 0.6625 PR 0.2478 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5935 | tau+ 0.500 | veto 9643
[OUTPOST-v4] epoch 105: test-all ROC 0.6628 PR 0.2490 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5932 | tau+ 0.500 | veto 9588
[OUTPOST-v4] epoch 106: test-all ROC 0.6631 PR 0.2503 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5937 | tau+ 0.500 | veto 9556
[OUTPOST-v4] epoch 107: test-all ROC 0.6634 PR 0.2514 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5934 | tau+ 0.500 | veto 9497
[OUTPOST-v4] epoch 108: test-all ROC 0.6635 PR 0.2525 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5937 | tau+ 0.500 | veto 9468
[OUTPOST-v4] epoch 109: test-all ROC 0.6636 PR 0.2535 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5931 | tau+ 0.500 | veto 9390
[OUTPOST-v4] epoch 110: test-all ROC 0.6637 PR 0.2546 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5934 | tau+ 0.500 | veto 9410
[OUTPOST-v4] epoch 111: test-all ROC 0.6637 PR 0.2555 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5939 | tau+ 0.500 | veto 9464
[OUTPOST-v4] epoch 112: test-all ROC 0.6637 PR 0.2563 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5935 | tau+ 0.500 | veto 9519
[OUTPOST-v4] epoch 113: test-all ROC 0.6636 PR 0.2572 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5924 | tau+ 0.500 | veto 9588
[OUTPOST-v4] epoch 114: test-all ROC 0.6636 PR 0.2580 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5914 | tau+ 0.500 | veto 9533
[OUTPOST-v4] epoch 115: test-all ROC 0.6634 PR 0.2587 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5906 | tau+ 0.500 | veto 9411
[OUTPOST-v4] epoch 116: test-all ROC 0.6633 PR 0.2595 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5903 | tau+ 0.500 | veto 9466
[OUTPOST-v4] epoch 117: test-all ROC 0.6631 PR 0.2601 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5907 | tau+ 0.500 | veto 9455
[OUTPOST-v4] epoch 118: test-all ROC 0.6629 PR 0.2608 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5895 | tau+ 0.500 | veto 9420
[OUTPOST-v4] epoch 119: test-all ROC 0.6628 PR 0.2615 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5883 | tau+ 0.500 | veto 9383
[OUTPOST-v4] epoch 120: test-all ROC 0.6627 PR 0.2622 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5868 | tau+ 0.500 | veto 9413
[OUTPOST-v4] epoch 121: test-all ROC 0.6626 PR 0.2629 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5871 | tau+ 0.500 | veto 9516
[OUTPOST-v4] epoch 122: test-all ROC 0.6624 PR 0.2635 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5861 | tau+ 0.500 | veto 9514
[OUTPOST-v4] epoch 123: test-all ROC 0.6623 PR 0.2641 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5851 | tau+ 0.500 | veto 9488
[OUTPOST-v4] epoch 124: test-all ROC 0.6621 PR 0.2647 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5838 | tau+ 0.500 | veto 9567
[OUTPOST-v4] epoch 125: test-all ROC 0.6620 PR 0.2653 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5829 | tau+ 0.500 | veto 9628
[OUTPOST-v4] epoch 126: test-all ROC 0.6619 PR 0.2659 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5831 | tau+ 0.500 | veto 9557
[OUTPOST-v4] epoch 127: test-all ROC 0.6617 PR 0.2665 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5826 | tau+ 0.500 | veto 9536
[OUTPOST-v4] epoch 128: test-all ROC 0.6616 PR 0.2671 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5813 | tau+ 0.500 | veto 9665
[OUTPOST-v4] epoch 129: test-all ROC 0.6615 PR 0.2677 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5814 | tau+ 0.500 | veto 9571
[OUTPOST-v4] epoch 130: test-all ROC 0.6615 PR 0.2684 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5806 | tau+ 0.500 | veto 9662
[OUTPOST-v4] epoch 131: test-all ROC 0.6615 PR 0.2690 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5814 | tau+ 0.500 | veto 9677
[OUTPOST-v4] epoch 132: test-all ROC 0.6615 PR 0.2695 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5806 | tau+ 0.500 | veto 9843
[OUTPOST-v4] epoch 133: test-all ROC 0.6615 PR 0.2700 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5804 | tau+ 0.500 | veto 9950
[OUTPOST-v4] epoch 134: test-all ROC 0.6615 PR 0.2706 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5797 | tau+ 0.500 | veto 10123
[OUTPOST-v4] epoch 135: test-all ROC 0.6616 PR 0.2710 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5798 | tau+ 0.500 | veto 10155
[OUTPOST-v4] epoch 136: test-all ROC 0.6617 PR 0.2715 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5804 | tau+ 0.500 | veto 10083
[OUTPOST-v4] epoch 137: test-all ROC 0.6618 PR 0.2718 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5804 | tau+ 0.500 | veto 9909
