# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 42 --method outpost --tag C_fview --set use_fview_gate=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'y', 'edge_index', 'x'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.4977 PR 0.1567 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5648 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 13: test-all ROC 0.5096 PR 0.1555 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4595 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 14: test-all ROC 0.5097 PR 0.1553 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4590 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 15: test-all ROC 0.5100 PR 0.1551 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4611 | tau+ 0.500 | veto 1482
[OUTPOST-v4] epoch 16: test-all ROC 0.5105 PR 0.1551 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4622 | tau+ 0.500 | veto 7621
[OUTPOST-v4] epoch 17: test-all ROC 0.5109 PR 0.1551 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4639 | tau+ 0.500 | veto 8046
[OUTPOST-v4] epoch 18: test-all ROC 0.5114 PR 0.1552 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4657 | tau+ 0.500 | veto 7845
[OUTPOST-v4] epoch 19: test-all ROC 0.5120 PR 0.1553 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4676 | tau+ 0.500 | veto 7672
[OUTPOST-v4] epoch 20: test-all ROC 0.5127 PR 0.1555 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4690 | tau+ 0.500 | veto 7721
[OUTPOST-v4] epoch 21: test-all ROC 0.5136 PR 0.1557 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4703 | tau+ 0.500 | veto 7756
[OUTPOST-v4] epoch 22: test-all ROC 0.5145 PR 0.1560 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4707 | tau+ 0.500 | veto 7876
[OUTPOST-v4] epoch 23: test-all ROC 0.5154 PR 0.1563 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4712 | tau+ 0.500 | veto 7552
[OUTPOST-v4] epoch 24: test-all ROC 0.5162 PR 0.1566 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4716 | tau+ 0.500 | veto 7441
[OUTPOST-v4] epoch 25: test-all ROC 0.5169 PR 0.1569 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4725 | tau+ 0.500 | veto 7503
[OUTPOST-v4] epoch 26: test-all ROC 0.5176 PR 0.1572 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4729 | tau+ 0.500 | veto 7231
[OUTPOST-v4] epoch 27: test-all ROC 0.5183 PR 0.1575 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4733 | tau+ 0.500 | veto 7242
[OUTPOST-v4] epoch 28: test-all ROC 0.5189 PR 0.1578 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4730 | tau+ 0.500 | veto 7469
[OUTPOST-v4] epoch 29: test-all ROC 0.5194 PR 0.1581 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4731 | tau+ 0.500 | veto 7481
[OUTPOST-v4] epoch 30: test-all ROC 0.5200 PR 0.1584 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4718 | tau+ 0.500 | veto 7350
[OUTPOST-v4] epoch 31: test-all ROC 0.5205 PR 0.1587 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4718 | tau+ 0.500 | veto 7275
[OUTPOST-v4] epoch 32: test-all ROC 0.5209 PR 0.1590 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4709 | tau+ 0.500 | veto 7281
[OUTPOST-v4] epoch 33: test-all ROC 0.5214 PR 0.1593 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4700 | tau+ 0.500 | veto 7868
[OUTPOST-v4] epoch 34: test-all ROC 0.5218 PR 0.1596 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4694 | tau+ 0.500 | veto 8338
[OUTPOST-v4] epoch 35: test-all ROC 0.5222 PR 0.1599 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4685 | tau+ 0.500 | veto 8377
[OUTPOST-v4] epoch 36: test-all ROC 0.5226 PR 0.1602 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4682 | tau+ 0.500 | veto 8553
[OUTPOST-v4] epoch 37: test-all ROC 0.5230 PR 0.1605 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4680 | tau+ 0.500 | veto 8597
[OUTPOST-v4] epoch 38: test-all ROC 0.5234 PR 0.1608 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4666 | tau+ 0.500 | veto 8619
[OUTPOST-v4] epoch 39: test-all ROC 0.5237 PR 0.1611 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4649 | tau+ 0.500 | veto 8671
[OUTPOST-v4] epoch 40: test-all ROC 0.5239 PR 0.1613 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4648 | tau+ 0.500 | veto 8574
[OUTPOST-v4] epoch 41: test-all ROC 0.5242 PR 0.1616 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4645 | tau+ 0.500 | veto 8565
[OUTPOST-v4] epoch 42: test-all ROC 0.5246 PR 0.1619 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4637 | tau+ 0.500 | veto 8595
[OUTPOST-v4] epoch 43: test-all ROC 0.5250 PR 0.1622 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4633 | tau+ 0.500 | veto 8571
[OUTPOST-v4] epoch 44: test-all ROC 0.5254 PR 0.1625 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4637 | tau+ 0.500 | veto 8536
[OUTPOST-v4] epoch 45: test-all ROC 0.5259 PR 0.1628 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4627 | tau+ 0.500 | veto 8500
[OUTPOST-v4] epoch 46: test-all ROC 0.5265 PR 0.1632 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4619 | tau+ 0.500 | veto 8472
[OUTPOST-v4] epoch 47: test-all ROC 0.5270 PR 0.1635 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4621 | tau+ 0.500 | veto 8443
[OUTPOST-v4] epoch 48: test-all ROC 0.5276 PR 0.1639 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4611 | tau+ 0.500 | veto 8413
[OUTPOST-v4] epoch 49: test-all ROC 0.5282 PR 0.1643 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4614 | tau+ 0.500 | veto 8378
[OUTPOST-v4] epoch 50: test-all ROC 0.5288 PR 0.1646 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4616 | tau+ 0.500 | veto 8411
[OUTPOST-v4] epoch 51: test-all ROC 0.5294 PR 0.1650 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4615 | tau+ 0.500 | veto 8461
[OUTPOST-v4] epoch 52: test-all ROC 0.5300 PR 0.1653 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4614 | tau+ 0.500 | veto 8510
[OUTPOST-v4] epoch 53: test-all ROC 0.5306 PR 0.1656 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4616 | tau+ 0.500 | veto 8569
[OUTPOST-v4] epoch 54: test-all ROC 0.5311 PR 0.1660 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4624 | tau+ 0.500 | veto 8627
[OUTPOST-v4] epoch 55: test-all ROC 0.5315 PR 0.1662 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4633 | tau+ 0.500 | veto 8664
[OUTPOST-v4] epoch 56: test-all ROC 0.5319 PR 0.1665 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4634 | tau+ 0.500 | veto 8704
[OUTPOST-v4] epoch 57: test-all ROC 0.5323 PR 0.1667 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4631 | tau+ 0.500 | veto 8749
[OUTPOST-v4] epoch 58: test-all ROC 0.5328 PR 0.1670 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4641 | tau+ 0.500 | veto 8799
[OUTPOST-v4] epoch 59: test-all ROC 0.5333 PR 0.1673 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4647 | tau+ 0.500 | veto 8838
[OUTPOST-v4] epoch 60: test-all ROC 0.5339 PR 0.1677 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4645 | tau+ 0.500 | veto 8902
[OUTPOST-v4] epoch 61: test-all ROC 0.5346 PR 0.1681 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4645 | tau+ 0.500 | veto 8867
[OUTPOST-v4] epoch 62: test-all ROC 0.5353 PR 0.1685 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4654 | tau+ 0.500 | veto 8770
[OUTPOST-v4] epoch 63: test-all ROC 0.5361 PR 0.1689 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4662 | tau+ 0.500 | veto 8679
[OUTPOST-v4] epoch 64: test-all ROC 0.5369 PR 0.1693 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4671 | tau+ 0.500 | veto 8626
[OUTPOST-v4] epoch 65: test-all ROC 0.5377 PR 0.1698 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4678 | tau+ 0.500 | veto 8601
[OUTPOST-v4] epoch 66: test-all ROC 0.5385 PR 0.1702 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4689 | tau+ 0.500 | veto 8596
[OUTPOST-v4] epoch 67: test-all ROC 0.5393 PR 0.1706 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4693 | tau+ 0.500 | veto 8579
[OUTPOST-v4] epoch 68: test-all ROC 0.5401 PR 0.1711 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4698 | tau+ 0.500 | veto 8530
[OUTPOST-v4] epoch 69: test-all ROC 0.5409 PR 0.1715 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4701 | tau+ 0.500 | veto 8464
[OUTPOST-v4] epoch 70: test-all ROC 0.5416 PR 0.1720 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4707 | tau+ 0.500 | veto 8402
[OUTPOST-v4] epoch 71: test-all ROC 0.5424 PR 0.1725 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4710 | tau+ 0.500 | veto 8398
[OUTPOST-v4] epoch 72: test-all ROC 0.5431 PR 0.1729 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4707 | tau+ 0.500 | veto 8423
[OUTPOST-v4] epoch 73: test-all ROC 0.5439 PR 0.1734 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4709 | tau+ 0.500 | veto 8438
[OUTPOST-v4] epoch 74: test-all ROC 0.5447 PR 0.1739 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4711 | tau+ 0.500 | veto 8412
[OUTPOST-v4] epoch 75: test-all ROC 0.5455 PR 0.1744 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4707 | tau+ 0.500 | veto 8385
[OUTPOST-v4] epoch 76: test-all ROC 0.5463 PR 0.1750 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4708 | tau+ 0.500 | veto 8436
[OUTPOST-v4] epoch 77: test-all ROC 0.5471 PR 0.1755 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4706 | tau+ 0.500 | veto 8514
[OUTPOST-v4] epoch 78: test-all ROC 0.5480 PR 0.1761 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4714 | tau+ 0.500 | veto 8550
[OUTPOST-v4] epoch 79: test-all ROC 0.5489 PR 0.1767 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4718 | tau+ 0.500 | veto 8568
[OUTPOST-v4] epoch 80: test-all ROC 0.5498 PR 0.1773 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4719 | tau+ 0.500 | veto 8581
[OUTPOST-v4] epoch 81: test-all ROC 0.5507 PR 0.1779 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4719 | tau+ 0.500 | veto 8596
[OUTPOST-v4] epoch 82: test-all ROC 0.5516 PR 0.1785 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4720 | tau+ 0.500 | veto 8608
[OUTPOST-v4] epoch 83: test-all ROC 0.5526 PR 0.1792 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4733 | tau+ 0.500 | veto 8620
[OUTPOST-v4] epoch 84: test-all ROC 0.5536 PR 0.1800 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4739 | tau+ 0.500 | veto 8648
[OUTPOST-v4] epoch 85: test-all ROC 0.5546 PR 0.1806 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4748 | tau+ 0.500 | veto 8676
[OUTPOST-v4] epoch 86: test-all ROC 0.5556 PR 0.1813 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4749 | tau+ 0.500 | veto 8636
[OUTPOST-v4] epoch 87: test-all ROC 0.5567 PR 0.1821 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4752 | tau+ 0.500 | veto 8598
[OUTPOST-v4] epoch 88: test-all ROC 0.5577 PR 0.1827 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4756 | tau+ 0.500 | veto 8547
[OUTPOST-v4] epoch 89: test-all ROC 0.5588 PR 0.1834 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4763 | tau+ 0.500 | veto 8501
[OUTPOST-v4] epoch 90: test-all ROC 0.5598 PR 0.1841 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4766 | tau+ 0.500 | veto 8449
[OUTPOST-v4] epoch 91: test-all ROC 0.5608 PR 0.1848 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4772 | tau+ 0.500 | veto 8429
[OUTPOST-v4] epoch 92: test-all ROC 0.5619 PR 0.1855 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4776 | tau+ 0.500 | veto 8415
[OUTPOST-v4] epoch 93: test-all ROC 0.5630 PR 0.1863 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4780 | tau+ 0.500 | veto 8401
[OUTPOST-v4] epoch 94: test-all ROC 0.5641 PR 0.1871 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4784 | tau+ 0.500 | veto 8422
[OUTPOST-v4] epoch 95: test-all ROC 0.5653 PR 0.1879 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4789 | tau+ 0.500 | veto 8446
[OUTPOST-v4] epoch 96: test-all ROC 0.5664 PR 0.1888 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4793 | tau+ 0.500 | veto 8478
[OUTPOST-v4] epoch 97: test-all ROC 0.5676 PR 0.1897 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4803 | tau+ 0.500 | veto 8447
[OUTPOST-v4] epoch 98: test-all ROC 0.5687 PR 0.1906 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4810 | tau+ 0.500 | veto 8397
[OUTPOST-v4] epoch 99: test-all ROC 0.5700 PR 0.1915 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4812 | tau+ 0.500 | veto 8424
[OUTPOST-v4] epoch 100: test-all ROC 0.5712 PR 0.1925 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4824 | tau+ 0.500 | veto 8448
[OUTPOST-v4] epoch 101: test-all ROC 0.5723 PR 0.1935 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4824 | tau+ 0.500 | veto 8470
[OUTPOST-v4] epoch 102: test-all ROC 0.5734 PR 0.1944 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4827 | tau+ 0.500 | veto 8520
[OUTPOST-v4] epoch 103: test-all ROC 0.5745 PR 0.1954 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4842 | tau+ 0.500 | veto 8592
[OUTPOST-v4] epoch 104: test-all ROC 0.5755 PR 0.1963 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4844 | tau+ 0.500 | veto 8643
[OUTPOST-v4] epoch 105: test-all ROC 0.5765 PR 0.1973 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4853 | tau+ 0.500 | veto 8677
[OUTPOST-v4] epoch 106: test-all ROC 0.5775 PR 0.1982 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4852 | tau+ 0.500 | veto 8654
[OUTPOST-v4] epoch 107: test-all ROC 0.5787 PR 0.1993 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4863 | tau+ 0.500 | veto 8692
[OUTPOST-v4] epoch 108: test-all ROC 0.5800 PR 0.2005 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4865 | tau+ 0.500 | veto 8753
[OUTPOST-v4] epoch 109: test-all ROC 0.5813 PR 0.2016 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4875 | tau+ 0.500 | veto 8811
[OUTPOST-v4] epoch 110: test-all ROC 0.5826 PR 0.2027 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4883 | tau+ 0.500 | veto 8881
[OUTPOST-v4] epoch 111: test-all ROC 0.5839 PR 0.2039 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4893 | tau+ 0.500 | veto 8946
[OUTPOST-v4] epoch 112: test-all ROC 0.5853 PR 0.2050 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4900 | tau+ 0.500 | veto 9007
[OUTPOST-v4] epoch 113: test-all ROC 0.5866 PR 0.2062 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4906 | tau+ 0.500 | veto 9085
[OUTPOST-v4] epoch 114: test-all ROC 0.5878 PR 0.2074 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4916 | tau+ 0.500 | veto 9162
[OUTPOST-v4] epoch 115: test-all ROC 0.5891 PR 0.2085 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4924 | tau+ 0.500 | veto 9219
[OUTPOST-v4] epoch 116: test-all ROC 0.5904 PR 0.2097 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4929 | tau+ 0.500 | veto 9270
[OUTPOST-v4] epoch 117: test-all ROC 0.5918 PR 0.2109 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4938 | tau+ 0.500 | veto 9325
[OUTPOST-v4] epoch 118: test-all ROC 0.5932 PR 0.2122 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4946 | tau+ 0.500 | veto 9396
[OUTPOST-v4] epoch 119: test-all ROC 0.5946 PR 0.2134 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4955 | tau+ 0.500 | veto 9428
[OUTPOST-v4] epoch 120: test-all ROC 0.5960 PR 0.2146 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4956 | tau+ 0.500 | veto 9385
[OUTPOST-v4] epoch 121: test-all ROC 0.5973 PR 0.2158 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4970 | tau+ 0.500 | veto 9338
[OUTPOST-v4] epoch 122: test-all ROC 0.5986 PR 0.2169 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4975 | tau+ 0.500 | veto 9244
[OUTPOST-v4] epoch 123: test-all ROC 0.5999 PR 0.2180 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4984 | tau+ 0.500 | veto 9157
[OUTPOST-v4] epoch 124: test-all ROC 0.6010 PR 0.2191 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4986 | tau+ 0.500 | veto 9208
[OUTPOST-v4] epoch 125: test-all ROC 0.6021 PR 0.2201 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4992 | tau+ 0.500 | veto 9202
[OUTPOST-v4] epoch 126: test-all ROC 0.6032 PR 0.2211 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4996 | tau+ 0.500 | veto 9156
[OUTPOST-v4] epoch 127: test-all ROC 0.6044 PR 0.2221 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5006 | tau+ 0.500 | veto 9099
[OUTPOST-v4] epoch 128: test-all ROC 0.6055 PR 0.2231 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5012 | tau+ 0.500 | veto 9052
[OUTPOST-v4] epoch 129: test-all ROC 0.6066 PR 0.2240 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5026 | tau+ 0.500 | veto 9010
[OUTPOST-v4] epoch 130: test-all ROC 0.6077 PR 0.2249 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5042 | tau+ 0.500 | veto 8930
[OUTPOST-v4] epoch 131: test-all ROC 0.6088 PR 0.2259 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5048 | tau+ 0.500 | veto 8769
[OUTPOST-v4] epoch 132: test-all ROC 0.6100 PR 0.2268 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5064 | tau+ 0.500 | veto 8698
[OUTPOST-v4] epoch 133: test-all ROC 0.6112 PR 0.2277 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5068 | tau+ 0.500 | veto 8802
[OUTPOST-v4] epoch 134: test-all ROC 0.6125 PR 0.2286 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5082 | tau+ 0.500 | veto 8765
[OUTPOST-v4] epoch 135: test-all ROC 0.6137 PR 0.2295 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5099 | tau+ 0.500 | veto 8856
[OUTPOST-v4] epoch 136: test-all ROC 0.6149 PR 0.2304 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5111 | tau+ 0.500 | veto 8953
[OUTPOST-v4] epoch 137: test-all ROC 0.6160 PR 0.2312 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5116 | tau+ 0.500 | veto 9060
